Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	41	35	6	0.8537	1.0000	0.0000	0.5190	0.9011	0.9211	0.0000
11-15	128	101	27	0.7969	0.9901	0.0741	0.8067	0.9402	0.8850	0.1731
16-20	101	78	23	0.8119	0.9615	0.3043	0.8344	0.9471	0.8876	0.3733
21-25	87	63	24	0.8391	0.9524	0.5417	0.8724	0.9483	0.8955	0.5700
26-30	89	48	41	0.8202	0.8750	0.7561	0.9334	0.9480	0.8400	0.6383
31-35	125	57	68	0.9280	0.9298	0.9265	0.9874	0.9861	0.9217	0.8552
36-40	125	54	71	0.8880	0.8333	0.9296	0.9770	0.9714	0.8654	0.7714
41-45	93	24	69	0.9140	0.8333	0.9420	0.9837	0.9594	0.8333	0.7754
46-50	80	30	50	0.9500	0.9333	0.9600	0.9867	0.9785	0.9333	0.8933
51-55	52	22	30	0.9231	0.9545	0.9000	0.9788	0.9823	0.9130	0.8469
56-60	64	45	19	0.9531	0.9778	0.8947	0.9906	0.9962	0.9670	0.8866
61-65	101	67	34	0.9505	0.9701	0.9118	0.9930	0.9966	0.9630	0.8886
66-70	84	44	40	0.9524	0.9773	0.9250	0.9920	0.9929	0.9556	0.9054
71-75	70	38	32	0.9429	0.9737	0.9062	0.9622	0.9299	0.9487	0.8858
76-80	70	40	30	0.9286	0.9750	0.8667	0.9875	0.9906	0.9398	0.8557
81-85	87	53	34	0.9885	1.0000	0.9706	1.0000	1.0000	0.9907	0.9760
86-90	91	45	46	0.9560	0.9333	0.9783	0.9792	0.9860	0.9545	0.9129
91-95	85	32	53	0.9412	0.9375	0.9434	0.9758	0.9712	0.9231	0.8757
96-100	95	29	66	0.9263	0.8621	0.9545	0.9237	0.9236	0.8772	0.8248
101-105	82	22	60	0.9268	0.8636	0.9500	0.9364	0.9257	0.8636	0.8136
106-110	70	13	57	0.9714	1.0000	0.9649	0.9906	0.9599	0.9286	0.9145
Overall	1820	940	880	0.9088	0.9457	0.8693	0.9699	0.9716	0.9146	0.8190
