Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	34	32	2	0.9118	0.9688	0.0000	0.8906	0.9929	0.9538	-0.0435
11-15	151	127	24	0.8079	0.9370	0.1250	0.8035	0.9585	0.8914	0.0872
16-20	107	87	20	0.8505	0.9540	0.4000	0.8172	0.9558	0.9121	0.4374
21-25	78	55	23	0.8205	0.8182	0.8261	0.8830	0.9493	0.8654	0.6079
26-30	120	77	43	0.9000	0.9481	0.8140	0.9625	0.9775	0.9241	0.7801
31-35	141	59	82	0.9504	0.9831	0.9268	0.9876	0.9834	0.9431	0.9015
36-40	126	44	82	0.9762	0.9318	1.0000	0.9964	0.9938	0.9647	0.9481
41-45	82	29	53	0.8902	0.7931	0.9434	0.9772	0.9604	0.8364	0.7567
46-50	86	23	63	0.8953	0.8696	0.9048	0.9634	0.9311	0.8163	0.7463
51-55	48	16	32	0.8750	0.8750	0.8750	0.9609	0.9510	0.8235	0.7303
56-60	56	36	20	0.9464	0.9167	1.0000	0.9972	0.9985	0.9565	0.8928
61-65	95	73	22	0.9789	0.9726	1.0000	0.9932	0.9982	0.9861	0.9442
66-70	89	36	53	0.9663	0.9722	0.9623	0.9963	0.9948	0.9589	0.9306
71-75	76	44	32	0.9737	1.0000	0.9375	0.9979	0.9985	0.9778	0.9470
76-80	79	43	36	0.8861	0.9535	0.8056	0.9554	0.9586	0.9011	0.7742
81-85	63	39	24	0.9048	0.9744	0.7917	0.9925	0.9959	0.9268	0.7992
86-90	81	32	49	0.9136	0.9688	0.8776	0.9930	0.9920	0.8986	0.8306
91-95	82	31	51	0.9024	0.9355	0.8824	0.9715	0.9678	0.8788	0.8018
96-100	94	30	64	0.8617	0.8333	0.8750	0.9302	0.9037	0.7937	0.6918
101-105	71	25	46	0.8873	0.8800	0.8913	0.9191	0.8453	0.8462	0.7589
106-110	62	19	43	0.9516	1.0000	0.9302	0.9988	0.9974	0.9268	0.8963
Overall	1821	957	864	0.9055	0.9352	0.8727	0.9728	0.9761	0.9123	0.8112
