Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	36	30	6	0.8333	1.0000	0.0000	0.6833	0.9320	0.9091	0.0000
11-15	141	114	27	0.8511	1.0000	0.2222	0.8639	0.9661	0.9157	0.4332
16-20	111	77	34	0.7748	0.9870	0.2941	0.8869	0.9473	0.8588	0.4337
21-25	81	58	23	0.8025	0.8621	0.6522	0.8913	0.9560	0.8621	0.5142
26-30	97	67	30	0.8557	0.8209	0.9333	0.9512	0.9795	0.8871	0.7082
31-35	112	51	61	0.9464	0.9412	0.9508	0.9900	0.9889	0.9412	0.8920
36-40	115	44	71	0.8957	0.7727	0.9718	0.9782	0.9681	0.8500	0.7803
41-45	73	31	42	0.9041	0.8387	0.9524	0.9762	0.9714	0.8814	0.8042
46-50	89	16	73	0.9101	0.9375	0.9041	0.9692	0.8762	0.7895	0.7492
51-55	66	32	34	0.9242	0.9688	0.8824	0.9936	0.9944	0.9254	0.8523
56-60	65	44	21	0.9692	0.9773	0.9524	0.9892	0.9958	0.9773	0.9297
61-65	102	76	26	0.9118	0.9079	0.9231	0.9909	0.9969	0.9388	0.7874
66-70	80	48	32	0.9500	0.9167	1.0000	0.9883	0.9930	0.9565	0.9027
71-75	75	43	32	0.9333	0.9767	0.8750	0.9644	0.9570	0.9438	0.8650
76-80	73	43	30	0.9315	0.9767	0.8667	0.9690	0.9724	0.9438	0.8596
81-85	100	52	48	0.9300	0.9231	0.9375	0.9824	0.9867	0.9320	0.8601
86-90	85	38	47	0.9529	0.9737	0.9362	0.9944	0.9934	0.9487	0.9063
91-95	76	34	42	0.9342	0.9118	0.9524	0.9916	0.9903	0.9254	0.8669
96-100	83	31	52	0.9398	0.8387	1.0000	0.9646	0.9590	0.9123	0.8747
101-105	73	26	47	0.8904	0.8462	0.9149	0.9255	0.9179	0.8462	0.7610
106-110	88	28	60	0.8864	0.7857	0.9333	0.9530	0.9226	0.8148	0.7341
Overall	1821	983	838	0.8990	0.9207	0.8735	0.9681	0.9725	0.9077	0.7965
