Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	36	34	2	0.9167	0.9706	0.0000	0.6176	0.9652	0.9565	-0.0410
11-15	115	101	14	0.8696	0.9901	0.0000	0.8303	0.9720	0.9302	-0.0349
16-20	109	73	36	0.7523	0.8904	0.4722	0.8634	0.9396	0.8280	0.4057
21-25	97	72	25	0.7938	0.8750	0.5600	0.8672	0.9548	0.8630	0.4473
26-30	76	50	26	0.8553	0.8600	0.8462	0.9231	0.9648	0.8866	0.6896
31-35	129	75	54	0.9380	0.9200	0.9630	0.9899	0.9930	0.9452	0.8756
36-40	116	55	61	0.9310	0.8909	0.9672	0.9899	0.9886	0.9245	0.8633
41-45	80	24	56	0.9500	0.8750	0.9821	0.9955	0.9894	0.9130	0.8797
46-50	70	22	48	0.8571	1.0000	0.7917	0.9583	0.9020	0.8148	0.7377
51-55	59	22	37	0.8983	0.8182	0.9459	0.9398	0.9055	0.8571	0.7806
56-60	60	31	29	0.9167	0.9032	0.9310	0.9766	0.9822	0.9180	0.8338
61-65	108	79	29	0.9630	0.9747	0.9310	0.9952	0.9982	0.9747	0.9057
66-70	94	51	43	0.9574	0.9608	0.9535	0.9808	0.9807	0.9608	0.9143
71-75	89	47	42	0.9775	0.9787	0.9762	0.9939	0.9946	0.9787	0.9549
76-80	86	46	40	0.9419	0.9565	0.9250	0.9913	0.9933	0.9462	0.8832
81-85	84	44	40	0.9643	1.0000	0.9250	0.9875	0.9850	0.9670	0.9306
86-90	89	39	50	0.9663	1.0000	0.9400	1.0000	1.0000	0.9630	0.9343
91-95	80	34	46	0.9000	0.9412	0.8696	0.9815	0.9830	0.8889	0.8026
96-100	80	26	54	0.8875	0.8462	0.9074	0.9088	0.8111	0.8302	0.7464
101-105	82	18	64	0.9390	0.8889	0.9531	0.9644	0.8450	0.8649	0.8260
106-110	82	21	61	0.9390	0.9048	0.9508	0.9711	0.9495	0.8837	0.8428
Overall	1821	964	857	0.9094	0.9326	0.8833	0.9706	0.9746	0.9159	0.8184
