Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	33	30	3	0.9394	1.0000	0.3333	0.8889	0.9882	0.9677	0.5590
11-15	140	118	22	0.8500	0.9492	0.3182	0.8579	0.9661	0.9143	0.3352
16-20	110	82	28	0.8909	1.0000	0.5714	0.9068	0.9645	0.9318	0.7060
21-25	66	45	21	0.8182	0.9333	0.5714	0.8825	0.9295	0.8750	0.5610
26-30	93	60	33	0.8387	0.8667	0.7879	0.9040	0.9378	0.8739	0.6503
31-35	134	57	77	0.9030	0.8947	0.9091	0.9770	0.9750	0.8870	0.8021
36-40	127	44	83	0.9449	0.8636	0.9880	0.9893	0.9826	0.9157	0.8785
41-45	76	29	47	0.9342	0.8621	0.9787	0.9839	0.9780	0.9091	0.8609
46-50	71	24	47	0.8873	0.8750	0.8936	0.9433	0.9153	0.8400	0.7547
51-55	50	20	30	0.8400	0.9000	0.8000	0.9450	0.9263	0.8182	0.6864
56-60	65	45	20	0.9231	0.9333	0.9000	0.9778	0.9910	0.9438	0.8224
61-65	117	81	36	0.9744	1.0000	0.9167	0.9928	0.9966	0.9818	0.9402
66-70	72	41	31	0.9722	0.9512	1.0000	0.9953	0.9967	0.9750	0.9453
71-75	87	55	32	0.8851	0.9273	0.8125	0.9784	0.9881	0.9107	0.7505
76-80	76	45	31	0.9211	0.9333	0.9032	0.9627	0.9748	0.9333	0.8366
81-85	87	48	39	0.8621	0.9167	0.7949	0.9487	0.9630	0.8800	0.7216
86-90	79	34	45	0.9114	0.9118	0.9111	0.9556	0.9354	0.8986	0.8202
91-95	82	34	48	0.9390	0.9412	0.9375	0.9761	0.9734	0.9275	0.8752
96-100	97	23	74	0.9278	0.7826	0.9730	0.9436	0.8689	0.8372	0.7943
101-105	73	23	50	0.8493	0.7391	0.9000	0.9400	0.8700	0.7556	0.6471
106-110	86	16	70	0.9302	0.8750	0.9429	0.9482	0.8092	0.8235	0.7823
Overall	1821	954	867	0.9028	0.9245	0.8789	0.9629	0.9627	0.9088	0.8054
