Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	45	41	4	0.8889	0.9512	0.2500	0.9329	0.9939	0.9398	0.2296
11-15	133	110	23	0.8045	0.9091	0.3043	0.7818	0.9370	0.8850	0.2418
16-20	122	88	34	0.8279	0.9091	0.6176	0.8697	0.9456	0.8840	0.5548
21-25	98	73	25	0.8571	0.9041	0.7200	0.8532	0.9183	0.9041	0.6241
26-30	74	49	25	0.8649	0.8776	0.8400	0.9412	0.9713	0.8958	0.7050
31-35	131	71	60	0.9237	0.9155	0.9333	0.9805	0.9861	0.9286	0.8470
36-40	128	58	70	0.9219	0.8793	0.9571	0.9815	0.9798	0.9107	0.8431
41-45	79	26	53	0.8987	0.8846	0.9057	0.9608	0.9292	0.8519	0.7763
46-50	72	23	49	0.9444	1.0000	0.9184	0.9982	0.9963	0.9200	0.8845
51-55	49	22	27	0.9388	0.9091	0.9630	0.9781	0.9781	0.9302	0.8765
56-60	41	31	10	0.9268	0.9355	0.9000	0.9871	0.9958	0.9508	0.8098
61-65	93	73	20	0.9677	0.9589	1.0000	0.9918	0.9980	0.9790	0.9131
66-70	83	30	53	0.9398	0.9333	0.9434	0.9887	0.9858	0.9180	0.8707
71-75	66	36	30	0.8788	0.9167	0.8333	0.9366	0.9012	0.8919	0.7556
76-80	77	48	29	0.9091	0.8958	0.9310	0.9756	0.9870	0.9247	0.8130
81-85	90	53	37	0.9333	0.9245	0.9459	0.9832	0.9899	0.9423	0.8643
86-90	93	36	57	0.9247	0.8611	0.9649	0.9834	0.9755	0.8986	0.8409
91-95	93	34	59	0.9355	0.8529	0.9831	0.9691	0.9635	0.9062	0.8613
96-100	87	33	54	0.8391	0.6970	0.9259	0.8939	0.8881	0.7667	0.6533
101-105	93	18	75	0.9032	0.7222	0.9467	0.9585	0.8292	0.7429	0.6837
106-110	74	22	52	0.9189	0.8636	0.9423	0.9668	0.9333	0.8636	0.8059
Overall	1821	975	846	0.8984	0.8995	0.8972	0.9623	0.9639	0.9046	0.7960
