Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	31	24	7	0.8065	0.9583	0.2857	0.7679	0.9096	0.8846	0.3451
11-15	146	122	24	0.8562	0.9672	0.2917	0.7722	0.9428	0.9183	0.3635
16-20	110	81	29	0.7909	0.9383	0.3793	0.8808	0.9587	0.8686	0.3969
21-25	77	52	25	0.7792	0.9615	0.4000	0.8723	0.9397	0.8547	0.4667
26-30	92	50	42	0.8152	0.9800	0.6190	0.9576	0.9657	0.8522	0.6553
31-35	130	59	71	0.9000	0.9322	0.8732	0.9773	0.9806	0.8943	0.8021
36-40	124	56	68	0.8871	0.8571	0.9118	0.9719	0.9690	0.8727	0.7718
41-45	92	30	62	0.8913	0.8667	0.9032	0.9656	0.9492	0.8387	0.7578
46-50	96	19	77	0.9688	1.0000	0.9610	1.0000	1.0000	0.9268	0.9110
51-55	56	24	32	0.8393	0.8750	0.8125	0.9505	0.9517	0.8235	0.6809
56-60	50	28	22	0.8800	0.8571	0.9091	0.9740	0.9807	0.8889	0.7613
61-65	100	71	29	0.9000	0.9155	0.8621	0.9670	0.9883	0.9286	0.7629
66-70	83	42	41	0.8916	0.8571	0.9268	0.9628	0.9738	0.8889	0.7853
71-75	76	43	33	0.8684	0.9535	0.7576	0.9598	0.9709	0.8913	0.7364
76-80	66	30	36	0.8182	0.8333	0.8056	0.8917	0.8958	0.8065	0.6365
81-85	80	44	36	0.8875	0.9318	0.8333	0.9242	0.9007	0.9011	0.7732
86-90	90	42	48	0.8889	0.7619	1.0000	0.9563	0.9572	0.8649	0.7941
91-95	81	29	52	0.8889	0.8276	0.9231	0.9469	0.9357	0.8421	0.7567
96-100	93	32	61	0.9032	0.7812	0.9672	0.9672	0.9483	0.8475	0.7834
101-105	90	23	67	0.8889	0.8261	0.9104	0.9669	0.9275	0.7917	0.7172
106-110	58	21	37	0.8448	0.6190	0.9730	0.9331	0.9221	0.7429	0.6649
Overall	1821	922	899	0.8704	0.9002	0.8398	0.9520	0.9560	0.8755	0.7418
