Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	33	30	3	0.9091	0.9667	0.3333	0.7667	0.9729	0.9508	0.3614
11-15	140	118	22	0.8500	0.9153	0.5000	0.8640	0.9729	0.9114	0.4232
16-20	110	82	28	0.8727	0.9146	0.7500	0.9181	0.9702	0.9146	0.6646
21-25	66	45	21	0.8333	0.8667	0.7619	0.9058	0.9549	0.8764	0.6211
26-30	93	60	33	0.8925	0.9333	0.8182	0.9636	0.9808	0.9180	0.7628
31-35	134	57	77	0.9478	0.9474	0.9481	0.9902	0.9878	0.9391	0.8935
36-40	127	44	83	0.9528	0.8864	0.9880	0.9945	0.9894	0.9286	0.8957
41-45	76	29	47	0.8816	0.8276	0.9149	0.9626	0.9435	0.8421	0.7477
46-50	71	24	47	0.9014	0.9167	0.8936	0.9672	0.9518	0.8627	0.7896
51-55	50	20	30	0.8400	0.8000	0.8667	0.9650	0.9475	0.8000	0.6667
56-60	65	45	20	0.9385	0.9333	0.9500	0.9889	0.9949	0.9545	0.8616
61-65	117	81	36	0.9658	0.9753	0.9444	0.9952	0.9981	0.9753	0.9198
66-70	72	41	31	0.9306	0.8780	1.0000	0.9890	0.9927	0.9351	0.8695
71-75	87	55	32	0.9540	0.9455	0.9688	0.9824	0.9924	0.9630	0.9035
76-80	76	45	31	0.8289	0.8000	0.8710	0.9211	0.9446	0.8471	0.6604
81-85	87	48	39	0.8851	0.9167	0.8462	0.9589	0.9711	0.8980	0.7673
86-90	79	34	45	0.9114	0.9118	0.9111	0.9556	0.9544	0.8986	0.8202
91-95	82	34	48	0.9390	0.9118	0.9583	0.9706	0.9738	0.9254	0.8741
96-100	97	23	74	0.8969	0.7391	0.9459	0.9612	0.8894	0.7727	0.7075
101-105	73	23	50	0.9041	0.8261	0.9400	0.9670	0.9331	0.8444	0.7756
106-110	86	16	70	0.8837	0.6250	0.9429	0.9348	0.7860	0.6667	0.5986
Overall	1821	954	867	0.9039	0.9004	0.9077	0.9660	0.9693	0.9076	0.8076
