Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	45	41	4	0.9778	1.0000	0.7500	0.9268	0.9919	0.9880	0.8557
11-15	133	110	23	0.8421	0.9455	0.3478	0.8522	0.9674	0.9083	0.3614
16-20	122	88	34	0.7869	0.9091	0.4706	0.8697	0.9457	0.8602	0.4282
21-25	98	73	25	0.7959	0.8630	0.6000	0.8712	0.9612	0.8630	0.4630
26-30	74	49	25	0.8378	0.8367	0.8400	0.9094	0.9455	0.8723	0.6557
31-35	131	71	60	0.9313	0.9155	0.9500	0.9815	0.9863	0.9353	0.8631
36-40	128	58	70	0.9062	0.8276	0.9714	0.9798	0.9758	0.8889	0.8152
41-45	79	26	53	0.8481	0.6923	0.9245	0.9586	0.9216	0.7500	0.6466
46-50	72	23	49	0.9167	0.8696	0.9388	0.9769	0.9596	0.8696	0.8083
51-55	49	22	27	0.8776	0.8636	0.8889	0.9562	0.9549	0.8636	0.7525
56-60	41	31	10	0.9512	0.9677	0.9000	0.9871	0.9958	0.9677	0.8677
61-65	93	73	20	0.9355	0.9178	1.0000	0.9911	0.9979	0.9571	0.8402
66-70	83	30	53	0.9518	0.9333	0.9623	0.9786	0.9723	0.9333	0.8956
71-75	66	36	30	0.9091	0.9444	0.8667	0.9602	0.9346	0.9189	0.8172
76-80	77	48	29	0.9481	0.9583	0.9310	0.9763	0.9812	0.9583	0.8894
81-85	90	53	37	0.9333	0.9434	0.9189	0.9796	0.9872	0.9434	0.8623
86-90	93	36	57	0.8817	0.8056	0.9298	0.9766	0.9664	0.8406	0.7486
91-95	93	34	59	0.9462	0.9118	0.9661	0.9791	0.9735	0.9254	0.8836
96-100	87	33	54	0.8276	0.6667	0.9259	0.8636	0.8400	0.7458	0.6281
101-105	93	18	75	0.9677	0.9444	0.9733	0.9874	0.9487	0.9189	0.8993
106-110	74	22	52	0.9189	0.8182	0.9615	0.9589	0.9395	0.8571	0.8025
Overall	1821	975	846	0.8940	0.8933	0.8948	0.9632	0.9684	0.9003	0.7873
