Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	34	32	2	0.9118	0.9375	0.5000	0.9219	0.9953	0.9524	0.3629
11-15	151	127	24	0.7947	0.8268	0.6250	0.8209	0.9622	0.8714	0.3840
16-20	107	87	20	0.8224	0.8621	0.6500	0.8920	0.9744	0.8876	0.4718
21-25	78	55	23	0.8974	0.9273	0.8261	0.9486	0.9792	0.9273	0.7534
26-30	120	77	43	0.8750	0.9221	0.7907	0.9505	0.9724	0.9045	0.7250
31-35	141	59	82	0.9858	0.9831	0.9878	0.9967	0.9953	0.9831	0.9709
36-40	126	44	82	0.9683	0.9545	0.9756	0.9986	0.9975	0.9545	0.9302
41-45	82	29	53	0.8902	0.8621	0.9057	0.9707	0.9539	0.8475	0.7620
46-50	86	23	63	0.9535	0.8696	0.9841	0.9869	0.9777	0.9091	0.8796
51-55	48	16	32	0.9583	0.8750	1.0000	0.9844	0.9743	0.9333	0.9075
56-60	56	36	20	0.9464	0.9444	0.9500	0.9972	0.9985	0.9577	0.8853
61-65	95	73	22	0.9895	0.9863	1.0000	0.9963	0.9990	0.9931	0.9713
66-70	89	36	53	0.9888	1.0000	0.9811	1.0000	1.0000	0.9863	0.9770
71-75	76	44	32	0.9605	0.9773	0.9375	0.9979	0.9985	0.9663	0.9190
76-80	79	43	36	0.9620	0.9535	0.9722	0.9742	0.9853	0.9647	0.9239
81-85	63	39	24	0.9365	1.0000	0.8333	1.0000	1.0000	0.9512	0.8694
86-90	81	32	49	0.9877	0.9688	1.0000	0.9994	0.9991	0.9841	0.9744
91-95	82	31	51	0.9512	0.9032	0.9804	0.9937	0.9913	0.9333	0.8962
96-100	94	30	64	0.9468	0.9333	0.9531	0.9880	0.9803	0.9180	0.8789
101-105	71	25	46	0.9296	0.8800	0.9565	0.9504	0.8963	0.8980	0.8446
106-110	62	19	43	0.9355	0.8421	0.9767	0.9878	0.9751	0.8889	0.8462
Overall	1821	957	864	0.9281	0.9206	0.9363	0.9833	0.9855	0.9308	0.8561
