Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	36	34	2	0.8611	0.8824	0.5000	0.7206	0.9805	0.9231	0.2533
11-15	115	101	14	0.8087	0.8416	0.5714	0.8430	0.9751	0.8854	0.3323
16-20	109	73	36	0.8349	0.8082	0.8889	0.9083	0.9618	0.8676	0.6638
21-25	97	72	25	0.8144	0.8889	0.6000	0.8961	0.9664	0.8767	0.5028
26-30	76	50	26	0.9474	0.9200	1.0000	0.9746	0.9896	0.9583	0.8929
31-35	129	75	54	0.9612	0.9733	0.9444	0.9941	0.9959	0.9669	0.9203
36-40	116	55	61	0.9569	0.9455	0.9672	0.9920	0.9917	0.9541	0.9136
41-45	80	24	56	0.9625	0.9583	0.9643	0.9955	0.9902	0.9388	0.9122
46-50	70	22	48	0.9571	1.0000	0.9375	0.9981	0.9962	0.9362	0.9083
51-55	59	22	37	0.9322	0.8636	0.9730	0.9607	0.9552	0.9048	0.8546
56-60	60	31	29	0.9167	0.9032	0.9310	0.9800	0.9850	0.9180	0.8338
61-65	108	79	29	0.9815	0.9873	0.9655	0.9996	0.9998	0.9873	0.9529
66-70	94	51	43	0.9787	0.9804	0.9767	0.9977	0.9982	0.9804	0.9571
71-75	89	47	42	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
76-80	86	46	40	0.9767	1.0000	0.9500	0.9989	0.9991	0.9787	0.9542
81-85	84	44	40	0.9762	1.0000	0.9500	0.9989	0.9990	0.9778	0.9533
86-90	89	39	50	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
91-95	80	34	46	0.9750	0.9706	0.9783	0.9949	0.9941	0.9706	0.9488
96-100	80	26	54	0.9500	0.9615	0.9444	0.9644	0.8684	0.9259	0.8897
101-105	82	18	64	0.9634	0.8889	0.9844	0.9609	0.8253	0.9143	0.8916
106-110	82	21	61	0.9756	0.9048	1.0000	0.9875	0.9741	0.9500	0.9360
Overall	1821	964	857	0.9390	0.9315	0.9475	0.9830	0.9854	0.9418	0.8781
