Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	49	45	4	0.8571	0.9111	0.2500	0.8000	0.9800	0.9213	0.1457
11-15	134	107	27	0.8060	0.9252	0.3333	0.8404	0.9575	0.8839	0.3116
16-20	111	84	27	0.8378	0.9405	0.5185	0.8955	0.9657	0.8977	0.5228
21-25	78	60	18	0.8333	0.9167	0.5556	0.9102	0.9712	0.8943	0.5048
26-30	90	60	30	0.9111	0.9000	0.9333	0.9794	0.9905	0.9310	0.8103
31-35	116	55	61	0.9397	0.9636	0.9180	0.9768	0.9668	0.9381	0.8805
36-40	115	46	69	0.8957	0.8478	0.9275	0.9616	0.9218	0.8667	0.7815
41-45	87	29	58	0.8621	0.6897	0.9483	0.9394	0.9145	0.7692	0.6819
46-50	77	21	56	0.8831	0.7143	0.9464	0.9405	0.8353	0.7692	0.6953
51-55	54	21	33	0.8889	0.8571	0.9091	0.9278	0.8643	0.8571	0.7662
56-60	67	39	28	0.9104	0.8718	0.9643	0.9844	0.9886	0.9189	0.8256
61-65	82	57	25	0.9756	0.9825	0.9600	0.9895	0.9948	0.9825	0.9425
66-70	96	58	38	0.8958	0.8966	0.8947	0.9696	0.9814	0.9123	0.7849
71-75	89	46	43	0.8539	0.9130	0.7907	0.9596	0.9658	0.8660	0.7110
76-80	92	50	42	0.9022	0.9200	0.8810	0.9814	0.9855	0.9109	0.8027
81-85	87	51	36	0.8736	0.9020	0.8333	0.9673	0.9789	0.8932	0.7385
86-90	87	40	47	0.9655	0.9500	0.9787	0.9973	0.9970	0.9620	0.9307
91-95	71	29	42	0.9155	0.8621	0.9524	0.9778	0.9734	0.8929	0.8247
96-100	89	32	57	0.8652	0.7188	0.9474	0.9172	0.9033	0.7931	0.7029
101-105	71	23	48	0.8873	0.8696	0.8958	0.9384	0.8645	0.8333	0.7499
106-110	78	23	55	0.8846	0.6957	0.9636	0.9281	0.8624	0.7805	0.7135
Overall	1820	976	844	0.8863	0.8924	0.8791	0.9579	0.9605	0.8938	0.7714
