Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	31	24	7	0.7419	0.9167	0.1429	0.7321	0.9221	0.8462	0.0842
11-15	146	122	24	0.8288	0.9098	0.4167	0.8654	0.9726	0.8988	0.3448
16-20	110	81	29	0.7545	0.8642	0.4483	0.8221	0.9360	0.8383	0.3333
21-25	77	52	25	0.7922	0.9615	0.4400	0.8238	0.9124	0.8621	0.5019
26-30	92	50	42	0.8913	0.9000	0.8810	0.9438	0.9519	0.9000	0.7810
31-35	130	59	71	0.9000	0.8814	0.9155	0.9768	0.9739	0.8889	0.7981
36-40	124	56	68	0.8629	0.7679	0.9412	0.9777	0.9735	0.8350	0.7273
41-45	92	30	62	0.9130	0.8000	0.9677	0.9731	0.9538	0.8571	0.7993
46-50	96	19	77	0.9167	0.9474	0.9091	0.9706	0.9241	0.8182	0.7776
51-55	56	24	32	0.8036	0.8333	0.7812	0.9167	0.9084	0.7843	0.6087
56-60	50	28	22	0.9000	0.8929	0.9091	0.9838	0.9872	0.9091	0.7987
61-65	100	71	29	0.9000	0.9014	0.8966	0.9854	0.9943	0.9275	0.7700
66-70	83	42	41	0.9398	0.9286	0.9512	0.9669	0.9737	0.9398	0.8798
71-75	76	43	33	0.8816	0.9070	0.8485	0.9577	0.9713	0.8966	0.7584
76-80	66	30	36	0.8788	0.9000	0.8611	0.9315	0.9014	0.8710	0.7583
81-85	80	44	36	0.8500	0.9091	0.7778	0.9299	0.9451	0.8696	0.6975
86-90	90	42	48	0.9333	0.8571	1.0000	0.9638	0.9736	0.9231	0.8729
91-95	81	29	52	0.9630	0.8966	1.0000	0.9781	0.9799	0.9455	0.9207
96-100	93	32	61	0.9462	0.8750	0.9836	0.9647	0.9416	0.9180	0.8805
101-105	90	23	67	0.8556	0.7826	0.8806	0.9150	0.7797	0.7347	0.6382
106-110	58	21	37	0.9310	0.8571	0.9730	0.9562	0.9507	0.9000	0.8500
Overall	1821	922	899	0.8775	0.8839	0.8710	0.9523	0.9528	0.8797	0.7550
