Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	31	28	3	0.9032	1.0000	0.0000	0.8333	0.9822	0.9492	0.0000
11-15	124	107	17	0.8226	0.9065	0.2941	0.7746	0.9516	0.8981	0.2116
16-20	86	64	22	0.8256	0.8906	0.6364	0.9041	0.9674	0.8837	0.5352
21-25	105	82	23	0.8000	0.8537	0.6087	0.8499	0.9527	0.8696	0.4430
26-30	110	70	40	0.8636	0.9857	0.6500	0.9539	0.9698	0.9020	0.7106
31-35	111	53	58	0.9189	0.8868	0.9483	0.9678	0.9667	0.9126	0.8383
36-40	125	53	72	0.9280	0.8868	0.9583	0.9751	0.9740	0.9126	0.8525
41-45	71	18	53	0.9155	0.7222	0.9811	0.9486	0.9184	0.8125	0.7690
46-50	84	25	59	0.8929	0.8400	0.9153	0.9559	0.9044	0.8235	0.7469
51-55	69	30	39	0.9710	0.9333	1.0000	0.9795	0.9807	0.9655	0.9422
56-60	66	40	26	0.8788	0.9500	0.7692	0.9577	0.9756	0.9048	0.7455
61-65	102	76	26	0.9510	0.9474	0.9615	0.9894	0.9965	0.9664	0.8781
66-70	100	54	46	0.9600	0.9630	0.9565	0.9940	0.9949	0.9630	0.9195
71-75	68	36	32	0.9265	0.9167	0.9375	0.9722	0.9741	0.9296	0.8531
76-80	78	42	36	0.8846	0.9048	0.8611	0.9226	0.9271	0.8941	0.7677
81-85	82	51	31	0.8415	0.9412	0.6774	0.9620	0.9782	0.8807	0.6593
86-90	87	41	46	0.8966	0.8780	0.9130	0.9427	0.9531	0.8889	0.7924
91-95	86	38	48	0.9186	0.8947	0.9375	0.9759	0.9705	0.9067	0.8348
96-100	86	28	58	0.8488	0.7143	0.9138	0.9273	0.8748	0.7547	0.6481
101-105	68	30	38	0.8235	0.6667	0.9474	0.9044	0.9121	0.7692	0.6517
106-110	82	26	56	0.8780	0.6538	0.9821	0.9265	0.9079	0.7727	0.7150
Overall	1821	992	829	0.8869	0.8921	0.8806	0.9531	0.9613	0.8957	0.7721
