Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	36	30	6	0.7222	0.8333	0.1667	0.8167	0.9658	0.8333	0.0000
11-15	141	114	27	0.8085	0.8772	0.5185	0.8577	0.9645	0.8811	0.3903
16-20	111	77	34	0.8198	0.8961	0.6471	0.8972	0.9563	0.8734	0.5638
21-25	81	58	23	0.8519	0.8621	0.8261	0.9385	0.9766	0.8929	0.6582
26-30	97	67	30	0.8763	0.8657	0.9000	0.9627	0.9845	0.9062	0.7325
31-35	112	51	61	0.9464	0.9216	0.9672	0.9913	0.9899	0.9400	0.8922
36-40	115	44	71	0.9304	0.8636	0.9718	0.9904	0.9853	0.9048	0.8526
41-45	73	31	42	0.9315	0.8710	0.9762	0.9846	0.9815	0.9153	0.8612
46-50	89	16	73	0.9775	0.9375	0.9863	0.9837	0.9331	0.9375	0.9238
51-55	66	32	34	0.9848	1.0000	0.9706	0.9991	0.9991	0.9846	0.9701
56-60	65	44	21	0.9846	0.9773	1.0000	0.9978	0.9990	0.9885	0.9658
61-65	102	76	26	0.9608	0.9474	1.0000	0.9990	0.9997	0.9730	0.9061
66-70	80	48	32	0.9375	0.8958	1.0000	0.9701	0.9849	0.9451	0.8802
71-75	75	43	32	0.9467	0.9302	0.9688	0.9906	0.9933	0.9524	0.8932
76-80	73	43	30	0.9589	0.9767	0.9333	0.9814	0.9846	0.9655	0.9151
81-85	100	52	48	0.9500	0.9231	0.9792	0.9880	0.9901	0.9505	0.9017
86-90	85	38	47	0.9765	0.9474	1.0000	0.9961	0.9955	0.9730	0.9533
91-95	76	34	42	0.9605	0.9118	1.0000	0.9930	0.9927	0.9538	0.9225
96-100	83	31	52	0.9639	0.9355	0.9808	0.9926	0.9900	0.9508	0.9226
101-105	73	26	47	0.9315	0.9615	0.9149	0.9853	0.9791	0.9091	0.8577
106-110	88	28	60	0.9545	0.9286	0.9667	0.9899	0.9828	0.9286	0.8952
Overall	1821	983	838	0.9220	0.9115	0.9344	0.9799	0.9837	0.9266	0.8440
