Range	N	N_pos	N_neg	Accuracy	Sensitivity	Specificity	ROC-AUC	PR-AUC	F1-score	MCC
6-10	42	37	5	0.8571	0.9459	0.2000	0.8378	0.9765	0.9211	0.1835
11-15	142	121	21	0.8028	0.8347	0.6190	0.8560	0.9725	0.8783	0.3814
16-20	111	84	27	0.8288	0.8690	0.7037	0.8796	0.9559	0.8848	0.5533
21-25	81	64	17	0.8889	0.8906	0.8824	0.9421	0.9845	0.9268	0.7077
26-30	77	47	30	0.8701	0.9149	0.8000	0.9780	0.9872	0.8958	0.7247
31-35	115	53	62	0.9217	0.9245	0.9194	0.9869	0.9856	0.9159	0.8429
36-40	137	60	77	0.9562	0.9500	0.9610	0.9935	0.9917	0.9500	0.9110
41-45	77	24	53	0.9481	0.8750	0.9811	0.9741	0.9614	0.9130	0.8778
46-50	75	21	54	0.9867	0.9524	1.0000	1.0000	1.0000	0.9756	0.9670
51-55	53	25	28	0.9623	0.9600	0.9643	0.9986	0.9985	0.9600	0.9243
56-60	44	27	17	0.9773	0.9630	1.0000	0.9935	0.9963	0.9811	0.9537
61-65	88	63	25	0.9773	0.9683	1.0000	0.9968	0.9988	0.9839	0.9469
66-70	87	46	41	0.9885	0.9783	1.0000	0.9995	0.9995	0.9890	0.9772
71-75	76	44	32	0.9737	0.9773	0.9688	0.9950	0.9969	0.9773	0.9460
76-80	81	43	38	0.9383	0.9070	0.9737	0.9878	0.9908	0.9398	0.8790
81-85	92	59	33	0.9891	0.9831	1.0000	0.9949	0.9975	0.9915	0.9768
86-90	90	39	51	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
91-95	90	33	57	0.9778	0.9394	1.0000	0.9984	0.9975	0.9688	0.9527
96-100	100	32	68	0.9600	0.9688	0.9559	0.9903	0.9733	0.9394	0.9105
101-105	87	26	61	0.9310	0.8846	0.9508	0.9578	0.9511	0.8846	0.8354
106-110	76	27	49	0.9737	0.9630	0.9796	0.9894	0.9842	0.9630	0.9426
Overall	1821	975	846	0.9341	0.9251	0.9444	0.9858	0.9883	0.9376	0.8682
