Variant,Accuracy,Accuracy_std,Accuracy_fmt,Sensitivity,Sensitivity_std,Sensitivity_fmt,Specificity,Specificity_std,Specificity_fmt,ROC_AUC,ROC_AUC_std,ROC_AUC_fmt,PR_AUC,PR_AUC_std,PR_AUC_fmt,F1,F1_std,F1_fmt,MCC,MCC_std,MCC_fmt
CASKnet (full),0.93232,0.007248586069020608,0.9323±0.0072,0.94758,0.007239267918788465,0.9476±0.0072,0.91544,0.009202336659783745,0.9154±0.0092,0.9841,0.0030797727188868855,0.9841±0.0031,0.9864,0.002654241887997396,0.9864±0.0027,0.9368399999999999,0.00813775153221083,0.9368±0.0081,0.86402,0.015203354892917574,0.8640±0.0152
w/o Attention,0.9305807097899355,0.006472329418539034,0.9306±0.0065,0.932451372147088,0.017728798620379706,0.9325±0.0177,0.9285906502623039,0.007207040304473635,0.9286±0.0072,0.982582101808485,0.0031054327320364293,0.9826±0.0031,0.9845932745989412,0.00274532029766987,0.9846±0.0027,0.934265051228261,0.0063974944018986195,0.9343±0.0064,0.8609408053448655,0.012836794275397974,0.8609±0.0128
w/o CNN,0.9350837301084418,0.003747482888133011,0.9351±0.0037,0.9285822246723046,0.007818585706075763,0.9286±0.0078,0.9422782124019179,0.006301143666073223,0.9423±0.0063,0.9845102541562246,0.00304461034521847,0.9845±0.0030,0.9864851779812867,0.002838578772502726,0.9865±0.0028,0.9380475846126153,0.003542962367869991,0.9380±0.0035,0.8700786654026457,0.007486038336082127,0.8701±0.0075
w/o KAN,0.9353043551725595,0.012620480566955848,0.9353±0.0126,0.9246348919088765,0.022255372671711994,0.9246±0.0223,0.947449471379136,0.00617446265571984,0.9474±0.0062,0.9832836264698797,0.003996554342597437,0.9833±0.0040,0.9849480828045509,0.003190730772209651,0.9849±0.0032,0.9379842504676125,0.012083169096992875,0.9380±0.0121,0.8709988520515042,0.024612240823236025,0.8710±0.0246
w/o Multi-scale,0.9362933661615704,0.010877310390259775,0.9363±0.0109,0.929724622040583,0.017631832511778557,0.9297±0.0176,0.9436477959965728,0.008348772730438325,0.9436±0.0083,0.9840666711781196,0.003737934950983006,0.9841±0.0037,0.9863614045909163,0.0028423250528297906,0.9864±0.0028,0.939211813458499,0.010358736855825003,0.9392±0.0104,0.8725903710364079,0.021486176550902604,0.8726±0.0215
