human gut	25071019	1261797	0.05032890765229766
human skin	2385513	98477	0.04128126738357745
human saliva	1604466	74797	0.04661800250052042
human mouth	1818838	86571	0.047596872288790976
human respiratory tract	905337	43429	0.04796998244852469
human urogenital tract	78586	3508	0.044638994222889576
human digestive tract	297323	14261	0.04796467141795287
human associated	50237	1853	0.0368851643211179
