Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all
pfam07358	13	4012	1	1769
pfam14070	2	4012	0	1769
pfam11126	1	4012	0	1769
pfam11006	1	4012	0	1769
pfam08742	1	4012	0	1769
pfam13031	1	4012	0	1769
pfam12464	2	4012	0	1769
pfam16199	3	4012	1	1769
pfam05135	1	4012	1	1769
pfam16403	5	4012	1	1769
pfam05257	4	4012	0	1769
pfam01541	1	4012	0	1769
pfam13620	1	4012	0	1769
pfam10087	3	4012	1	1769
pfam13953	5	4012	0	1769
pfam13817	2	4012	0	1769
pfam18348	1	4012	0	1769
pfam09919	1	4012	0	1769
pfam04650	2	4012	0	1769
pfam16934	4	4012	0	1769
pfam14021	4	4012	0	1769
pfam14270	4	4012	1	1769
pfam13320	3	4012	0	1769
pfam08486	1	4012	0	1769
pfam13516	1	4012	0	1769
pfam14053	1	4012	0	1769
pfam02049	3	4012	1	1769
pfam10824	1	4012	1	1769
pfam15534	2	4012	1	1769
pfam04122	4	4012	1	1769
pfam07666	1	4012	0	1769
pfam13828	1	4012	1	1769
pfam13524	7	4012	6	1769
pfam07027	1	4012	0	1769
pfam14168	7	4012	1	1769
pfam08533	1	4012	0	1769
pfam14302	1	4012	0	1769
pfam10905	1	4012	0	1769
pfam14697	5	4012	3	1769
pfam08955	4	4012	2	1769
pfam13183	9	4012	14	1769
pfam02026	2	4012	0	1769
pfam04265	1	4012	0	1769
pfam09560	3	4012	5	1769
pfam15533	2	4012	0	1769
pfam09906	1	4012	0	1769
pfam05717	1	4012	0	1769
pfam08769	3	4012	1	1769
pfam05713	1	4012	0	1769
pfam06686	32	4012	11	1769
pfam00691	6	4012	3	1769
pfam14268	2	4012	0	1769
pfam00440	1	4012	0	1769
pfam15650	1	4012	0	1769
pfam12833	5	4012	0	1769
pfam04883	1	4012	0	1769
pfam19154	1	4012	0	1769
pfam14771	8	4012	2	1769
pfam12652	1	4012	1	1769
pfam07441	1	4012	0	1769
pfam18317	1	4012	0	1769
pfam13499	6	4012	3	1769
pfam13018	1	4012	0	1769
pfam18657	1	4012	0	1769
pfam14412	1	4012	0	1769
pfam10439	6	4012	0	1769
pfam10458	1	4012	0	1769
pfam05137	1	4012	0	1769
pfam10437	3	4012	0	1769
pfam00545	6	4012	1	1769
pfam14903	2	4012	0	1769
pfam07683	1	4012	0	1769
pfam13855	1	4012	1	1769
pfam13269	2	4012	0	1769
pfam13699	1	4012	1	1769
pfam14414	5	4012	4	1769
pfam13370	2	4012	0	1769
pfam07007	4	4012	3	1769
pfam09626	1	4012	0	1769
pfam04324	3	4012	1	1769
pfam07116	1	4012	0	1769
pfam17965	1	4012	0	1769
pfam18649	4	4012	0	1769
pfam00391	4	4012	2	1769
pfam08946	3	4012	0	1769
pfam11734	6	4012	0	1769
pfam16387	2	4012	3	1769
pfam10417	2	4012	0	1769
pfam11589	5	4012	0	1769
pfam19087	2	4012	0	1769
pfam17801	1	4012	0	1769
